book_id,title,author,genres,category,description
1,1984,George Orwell,"Dystopian, Science Fiction",Fiction,A chilling prophecy about the future.
2,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"Fantasy, Adventure",Fiction,The first book in the Harry Potter series.
3,The Shining,Stephen King,"Horror, Thriller",Fiction,Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start.
4,Pride and Prejudice,Jane Austen,"Romance, Classic",Fiction,A romantic novel of manners.
5,The Great Gatsby,F. Scott Fitzgerald,"Classic, Romance",Fiction,The story of the mysteriously wealthy Jay Gatsby.
6,The Hobbit,J.R.R. Tolkien,"Fantasy, Adventure",Fiction,A timeless classic of all-age fantasy.
7,To Kill a Mockingbird,Harper Lee,"Classic, Thriller",Fiction,A novel about the serious issues of rape and racial inequality.
8,Dune,Frank Herbert,"Science Fiction, Adventure",Fiction,Set on the desert planet Arrakis.
9,The Adventures of Sherlock Holmes,Arthur Conan Doyle,"Mystery, Classic",Fiction,A collection of twelve short stories.
10,The Catcher in the Rye,J.D. Salinger,Classic,Fiction,A story about adolescent alienation.
11,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Education, Psychology",Non-Fiction,The history of humankind from the Stone Age to the twenty-first century.
12,Atomic Habits,James Clear,"Self-Help, Psychology",Non-Fiction,An easy & proven way to build good habits & break bad ones.
13,Clean Code,Robert C. Martin,"Education, Technical",Technology,A Handbook of Agile Software Craftsmanship.
14,The Da Vinci Code,Dan Brown,"Thriller, Mystery",Fiction,A mystery detective novel.
15,It,Stephen King,Horror,Fiction,The story of seven children terrorized by an evil entity.
16,A Game of Thrones,George R.R. Martin,"Fantasy, Adventure",Fiction,The first book in A Song of Ice and Fire.
17,Murder on the Orient Express,Agatha Christie,"Mystery, Classic",Fiction,A detective novel featuring Hercule Poirot.
18,The Alchemist,Paulo Coelho,"Adventure, Self-Help",Fiction,A novel about following your dream.
19,Fahrenheit 451,Ray Bradbury,"Dystopian, Science Fiction",Fiction,A future American society where books are outlawed.
20,Gone Girl,Gillian Flynn,"Thriller, Mystery",Fiction,A thriller about a woman who disappears on her fifth wedding anniversary.
21,"Thinking, Fast and Slow",Daniel Kahneman,"Psychology, Education",Non-Fiction,The two systems that drive the way we think.
22,Steve Jobs,Walter Isaacson,"Education, Technical",Biography,The biography of the co-founder of Apple Inc.
23,The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Adventure",Fiction,High fantasy novel.
24,Brave New World,Aldous Huxley,"Dystopian, Science Fiction",Fiction,A dystopian social science fiction novel.
25,The Silent Patient,Alex Michaelides,"Thriller, Mystery",Fiction,A psychological thriller about a woman who shoots her husband.
26,Alice's Adventures in Wonderland,Lewis Carroll,"Fantasy, Science Fiction",Non-Fiction,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.

One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre...."
27,The Wonderful Wizard of Oz,L. Frank Baum,"Fantasy, Science Fiction",Non-Fiction,"Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas...."
28,Treasure Island,Robert Louis Stevenson,"Fantasy, Thriller, Education",Non-Fiction,"Traditionally considered a coming-of-age story, Treasure Island is an adventure tale known for its atmosphere, characters and action, and also as a wry commentary on the ambiguity of morality — as seen in Long John Silver — unusual for children's literature then and now. It is one of the most frequently dramatized of all novels. The influence of Treasure Island on popular perceptions of pirates is enormous, including treasure maps marked with an ""X"", schooners, the Black Spot, tropical isla..."
29,A Midsummer Night's Dream,William Shakespeare,"Fantasy, Education",Non-Fiction,"One night two young couples run into an enchanted forest in an attempt to escape their problems. But these four humans do not realize that the forest is filled with fairies and hobgoblins who love making mischief. When Oberon, the Fairy King, and his loyal hobgoblin servant, Puck, intervene in human affairs, the fate of these young couples is magically and hilariously transformed. Like a classic fairy tale, this retelling of William Shakespeare's most beloved comedy is perfect for older rea..."
30,The Prince,Niccolò Machiavelli,"Fantasy, Psychology",Non-Fiction,"The Prince (Italian: Il Principe [il ˈprintʃipe]; Latin: De Principatibus) is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli as an instruction guide for new princes and royals. The general theme of The Prince is of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends.

From Machiavelli's correspondence, a version appears to have been distributed in 1513, using ..."
31,Through the Looking-Glass,Lewis Carroll,Fantasy,Non-Fiction,"*Through the Looking-Glass, and What Alice Found There* (1871) is a work of children's literature by Lewis Carroll (Charles Lutwidge Dodgson), generally categorized in the fairy tale genre. It is the sequel to *Alice's Adventures in Wonderland* (1865). Although it makes no reference to the events in the earlier book, the themes and settings of *Through the Looking-Glass* make it a kind of mirror image of Wonderland: the first book begins outdoors, in the warm month of May, uses frequent cha..."
32,The Marvelous Land of Oz,L. Frank Baum,Fantasy,Fiction,"Tip and his creation, Jack Pumpkin, run away to Oz, where they save the city after it is captured by girls...."
33,Le petit prince,Antoine de Saint-Exupéry,"Fantasy, Adventure",Non-Fiction,"*Le Petit Prince* est une œuvre de langue française, la plus connue d'Antoine de Saint-Exupéry. Publié en 1943 à New York simultanément à sa traduction anglaise, c'est une œuvre poétique et philosophique sous l'apparence d'un conte pour enfants.

Traduit en quatre cent cinquante-sept langues et dialectes, *Le Petit Prince* est le deuxième ouvrage le plus traduit au monde après la Bible.

Le langage, simple et dépouillé, parce qu'il est destiné à être compris par des enfants, est en réal..."
34,The Emerald City of Oz,L. Frank Baum,"Fantasy, Science Fiction",Non-Fiction,"From the book:Perhaps I should admit on the title page that this book is ""By L. Frank Baum and his correspondents,"" for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself ""an author of fairy tales,"" but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requestsed to weave into the thread of my stories. These ideas are often clever. They are also logical and interesting. So I have used them when..."
35,Dorothy and the Wizard in Oz,L. Frank Baum,"Fantasy, Science Fiction",Non-Fiction,"Dorothy and the Wizard in Oz is the fourth book in Baum's Oz series. The series chronicles the further adventures of Dorothy both in and out of Oz, as she deals with the characters, situations and desires which continue to spill over from her first fateful adventure...."
36,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,Fantasy,Non-Fiction,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Car..."
37,The Time Machine,H. G. Wells,"Dystopian, Science Fiction",Non-Fiction,"The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class. Wells's transparent commentary on the capitalist society was an instant bestseller and launched the time-travel..."
38,Dracula,Bram Stoker,"Fantasy, Horror, Science Fiction, Thriller",Non-Fiction,"Na história, um casal e seus amigos são atormentados por Conde Drácula, uma entidade sobrenatural e hematófoga que, presa em uma maldição contagiosa, pretende se mudar de seu recluso castelo na Transilvânia para a efervescente Londres do século XIX. Com a ajuda do professor Van Helsing, o grupo de amigos pretende enfrentar o morto-vivo, mesmo com todos os perigos que a ofensiva trará...."
39,The Invisible Man,H. G. Wells,Science Fiction,Non-Fiction,"This book is the story of Griffin, a scientist who creates a serum to render himself invisible, and his descent into madness that follows...."
40,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,"Fantasy, Science Fiction, Thriller, Adventure",Non-Fiction,"Phileas Fogg, a very punctual man had broken into an argument while conversing about the recent bank robbery. To keep his word of proving that he would travel around the world in 80 days and win the bet, he sets on a long trip, where he is joined by a few other people on the way. A wonderful adventure is about to begin!..."
41,"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance",William Morris,"Fantasy, Science Fiction",Non-Fiction,"""Written in 1890, at the close of William Morris's most intense period of political activism, News from Nowhere is a compelling articulation of his mature views on art, work, community, family, and the nature and structure of the ideal society. A utopian narrative of a future society, it is also an immensely entertaining novel."".

""This Broadview edition includes a wide variety of contextualizing documents, including portions of Morris's essays, lectures, and journalism; excerpts from pre..."
42,The Mayor of Casterbridge,Thomas Hardy,"Horror, Romance, Psychology",Fiction,"<p>Like many of <a href=""https://standardebooks.org/ebooks/thomas-hardy"">Hardy’s</a> novels, <i>The Mayor of Casterbridge</i> is set in the fictional county of Wessex in the mid 1800s. It begins with Michael Henchard, a young hay-trusser, drunk on rum, auctioning off his wife and baby daughter at a village fair. The next day, overcome with remorse, Henchard resolves to turn his life around. When we meet Henchard eighteen years later, temperance and hard work have made him wealthy and respec..."
43,The Turn of the Screw,Henry James,"Fantasy, Horror",Non-Fiction,The governess of two enigmatic children fears their souls are in danger from the ghosts of the previous governess and her sinister lover....
44,Carrie,Stephen King,"Horror, Thriller",Non-Fiction,"The story of misfit high-school girl, Carrie White, who gradually discovers that she has telekinetic powers. Repressed by a domineering, ultra-religious mother and tormented by her peers at school, her efforts to fit in lead to a dramatic confrontation during the senior prom. 
([source][1])


----------
Also contained in:

 - [The Shining / 'Salem's Lot / Night Shift / Carrie][2]


----------
See also:

 - [Selected from Carrie][3]


  [1]: https://stephenking.com/library/no..."
45,Wuthering Heights,Emily Brontë,Romance,Fiction,"Wuthering Heights is an 1847 novel by Emily Brontë, initially published under the pseudonym Ellis Bell. It concerns two families of the landed gentry living on the West Yorkshire moors, the Earnshaws and the Lintons, and their turbulent relationships with Earnshaw's adopted son, Heathcliff. The novel was influenced by Romanticism and Gothic fiction...."
46,Emma,Jane Austen,Romance,Non-Fiction,"Emma, by Jane Austen, is a novel about youthful hubris and the perils of misconstrued romance. The novel was first published in December 1815. As in her other novels, Austen explores the concerns and difficulties of genteel women living in Georgian-Regency England; she also creates a lively comedy of manners among her characters. Before she began the novel, Austen wrote, ""I am going to take a heroine whom no one but myself will much like."" In the very first sentence she introduces the title..."
47,Sense and Sensibility,Jane Austen,"Romance, Classic",Non-Fiction,"When Mr. Dashwood dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and three daughters (Elinor, Marianne, and Margaret) in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars, his family disapproves and separates them. And though Mrs. Jennings tries to match th..."
48,Little Women,Louisa May Alcott,"Romance, Classic",Non-Fiction,"Louisa May Alcotts classic novel, set during the Civil War, has always captivated even the most reluctant readers. Little girls, especially, love following the adventures of the four March sisters--Meg, Beth, Amy, and most of all, the tomboy Jo--as they experience the joys and disappointments, tragedies and triumphs, of growing up. This simpler version captures all the charm and warmth of the original...."
49,Анна Каренина,Лев Толстой,Romance,Biography,"Described by William Faulkner as the best novel ever written and by Fyodor Dostoevsky as “flawless,” Anna Karenina tells of the doomed love affair between the sensuous and rebellious Anna and the dashing officer, Count Vronsky. Tragedy unfolds as Anna rejects her passionless marriage and thereby exposes herself to the hypocrisies of society. Set against a vast and richly textured canvas of nineteenth-century Russia, the novel's seven major characters create a dynamic imbalance, playing out ..."
50,Jane Eyre,Charlotte Brontë,Romance,Non-Fiction,"The novel is set somewhere in the north of England. Jane's childhood at Gateshead Hall, where she is emotionally and physically abused by her aunt and cousins; her education at Lowood School, where she acquires friends and role models but also suffers privations and oppression; her time as the governess of Thornfield Hall, where she falls in love with her Byronic employer, Edward Rochester; her time with the Rivers family, during which her earnest but cold clergyman cousin, St John Rivers, ..."
51,Northanger Abbey,Jane Austen,Romance,Non-Fiction,"Northanger Abbey is both a perfectly aimed literary parody and a withering satire of the commercial aspects of marriage among the English gentry at the turn of the nineteenth century. But most of all, it is the story of the initiation into life of its naïve but sweetly appealing heroine, Catherine Morland, a willing victim of the contemporary craze for Gothic literature who is determined to see herself as the heroine of a dark and thrilling romance.

When Catherine is invited to Northange..."
52,Ethan Frome,Edith Wharton,Romance,Fiction,"*Edith Wharton wrote Ethan Frome as a frame story — meaning that the prologue and epilogue constitute a ""frame"" around the main story*

**How It All Goes Down**
It's winter. A nameless engineer is in Starkfield, Massachusetts on business and he first sees Ethan Frome at the post office. Ethan is a man in his early fifties who is obviously strong, and obviously crippled. The man becomes fascinated with Ethan and wants to know his story. When Ethan begins giving him occasional rides to the..."
53,Le Comte de Monte Cristo,Alexandre Dumas,"Romance, Classic, Adventure",Non-Fiction,"Thrown in prison for a crime he has not committed, Edmond Dantes is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and becomes determined not only to escape but to unearth the treasure and use it to plot the destruction of the three men responsible for his incarceration. A huge popular success when it was first serialized in the 1840s, Dumas was inspired by a real-life case of wrongful imprisonment when writing his epic t..."
54,Riders of the Purple Sage,Zane Grey,Romance,Non-Fiction,"Riders of the Purple Sage is a novel that tells the story of a woman by the name of Jane Withersteen and her battle to overcome persecution by members of  her polygamous Mormon fundamentalist church. A leader of the church, Elder Tull, wants to marry her, but she has evaded him for years. Things get complicated when Bern Venters and Lassiter, a famous gunman and killer of Mormons help her look after her cattle and horses. She is blinded by her faith to see that her church men are the ones h..."
55,A Room with a View,E. M. Forster,Romance,Fiction,"Lucy has her rigid, middle-class life mapped out for her, until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconventional characters she meets at the Pension Bertolini: flamboyant romantic novelist Eleanor Lavish, the Cockney Signora, curious Mr Emerson and, most of all, his passionate son George.
Lucy finds herself torn between the intensity of life in Italy and the repressed morals of Edward..."
56,Uncle Tom's Cabin,Harriet Beecher Stowe,Romance,Non-Fiction,"This unforgettable novel tells the story of Tom, a devoutly Christian slave who chooses not to escape bondage for fear of embarrassing his master. However, he is soon sold to a slave trader and sent down the Mississippi, where he must endure brutal treatment. This is a powerful tale of the extreme cruelties of slavery, as well as the price of loyalty and morality. When first published, it helped to solidify the anti-slavery sentiments of the North, and it remains today as the book that help..."
57,Women in Love,D. H. Lawrence,"Fantasy, Romance",Fiction,"Dark, but filled with bright genius, Women in Love is a prophetic masterpiece steeped in eroticism, filled with perceptions about sexual power and obsession that have proven to be timeless and true...."
58,Heart of Darkness,Joseph Conrad,"Romance, Mystery",Non-Fiction,"Heart of Darkness (1899) is a novella by Polish-English novelist Joseph Conrad, about a voyage up the Congo River into the Congo Free State, in the heart of Africa, by the story's narrator Charles Marlow. Marlow tells his story to friends aboard a boat anchored on the River Thames. Joseph Conrad is one of the greatest English writers, and Heart of Darkness is considered his best.  His readers are brought to face our psychological selves to answer, ‘Who is the true savage?’. Originally publi..."
59,Howards End,E. M. Forster,Romance,Fiction,"Howards End is a novel by E. M. Forster about social conventions, codes of conduct and relationships in turn-of-the-century England. A strong-willed and intelligent woman refuses to allow the pretensions of her husband's smug English family to ruin her life. Howards End is considered by some to be Forster's masterpiece..."
60,The Portrait of a Lady,Henry James,Romance,Fiction,"Young American Isabel Archer charms European society, but falls prey to the machinations of a calculating older woman...."
61,A Christmas Carol,Charles Dickens,Fantasy,Non-Fiction,A retelling of the story about a miser whose life is changed by Christmas....
62,Adventures of Huckleberry Finn,Mark Twain,"Adventure, Classic",Non-Fiction,"Adventures of Huckleberry Finn or as it is known in more recent editions, The Adventures of Huckleberry Finn, is a novel by American author Mark Twain, which was first published in the United Kingdom in December 1884 and in the United States in February 1885.

Commonly named among the Great American Novels, the work is among the first in major American literature to be written throughout in vernacular English, characterized by local color regionalism. It is told in the first person by Huc..."
63,Robinson Crusoe,Daniel Defoe,Adventure,Non-Fiction,"During one of his several adventurous voyages in the 1600's, an Englishman becomes the sole survivor of a shipwreck and lives for nearly thirty years on a deserted island...."
64,Hamlet,William Shakespeare,Classic,Non-Fiction,"In this quintessential Shakespeare tragedy, a young prince's halting pursuit of revenge for the murder of his father unfolds in a series of highly charged confrontations that have held audiences spellbound for nearly four centuries. Those fateful exchanges, and the anguished soliloquies that precede and follow them, probe depths of human feeling rarely sounded in any art. 

The title role of Hamlet, perhaps the most demanding in all of Western drama, has provided generations of leading ac..."
65,Macbeth,William Shakespeare,"Classic, Drama",Non-Fiction,"The play concerns a trusted general who secretly lusts for power. Encouraged by the prophecies of three witches and urged on by his ambitious wife Macbeth commits regicide. Left fearful and superstitious by this desperate act he is driven to a spiralling course of murder and outrage, almost inevitably culminating in his own death. One of Shakespeare’s most popular tragedies, Macbeth is ostensibly based on the Scottish king although the story represented in the play bears no relation to hist..."
66,Les Robots,Isaac Asimov,"Science Fiction, Thriller",Technology,"I, Robot is a fixup novel of science fiction short stories or essays by American writer Isaac Asimov. The stories originally appeared in the American magazines Super Science Stories and Astounding Science Fiction between 1940 and 1950 and were then compiled into a book for stand-alone publication by Gnome Press in 1950, in an initial edition of 5,000 copies. The stories are woven together by a framing narrative in which the fictional Dr. Susan Calvin tells each story to a reporter (who serv..."
67,Artemis Fowl,Eoin Colfer,Fantasy,Technology,"Artemis Fowl is the first of a series of semi-realist novels produced by Eoin Colfer. They document the adventures of a precocious prodigal child of the criminal empire, Artemis Fowl. In this book, accompanied by his huge and loyal bodyguard/sidekick/advisor Butler, Artemis engages in a series of surreal activities; the absence of his missing father and the mental disorder of his mother allow him to pursue the unlikely position of a criminal mastermind. However, Artemis soon encounters more..."
68,The Internet for Dummies,John R. Levine,"Technology, Education",Technology,"Covers hardware, software, servers, e-mail, search engines, online shopping and auctions, resources for children, parental guidance, and privacy...."
69,Stormbreaker,Anthony Horowitz,"Mystery, Thriller",Technology,"They told him his uncle died in a car accident. Fourteen-year-old Alex knows that's a lie, and the bullet holes in his uncle's windshield confirm his suspicions. But nothing prepares him for the news that the uncle he always thought he knew was really a spy for MI6—Britain's top secret intelligence agency. Recruited to find his uncle's killers and complete his final mission, Alex suddenly finds himself caught in a deadly game of cat and mouse...."
70,Upgrading and repairing PCs,Scott Mueller,"Technology, Education",Technology,"Runaway best-selling PC hardware book of all time and one of the best-selling computer books ever! 
    * Written by the all-time bestselling PC hardware author in history! 
    * Has earned more than any other Que book in existence in gross profit since the 5th Edition was published in 1995, placing it among the Pearson Technology Group elite!..."
71,Artificial intelligence,Stuart J. Russell,"Technology, Science Fiction",Technology,"A comprehensive, up-to-date introduction to the theory and practice of artificial intelligence...."
72,Computer Concepts,June Jamrich Parsons,"Technology, Education",Technology,No description available....
73,Mona Lisa Overdrive,William Gibson,Science Fiction,Technology,"Mona Lisa Overdrive is the final novel of the William Gibson's cyberpunk Sprawl trilogy.

Living in the vast computer landscape of cyberspace, young Mona taps into the mind of world-famous Sense/Net star Angie Mitchell who deciphers cyperspace plans, including those devised by Japanese underworld...."
74,C++,Paul J. Deitel,"Technology, Education",Technology,*Publisher's description:* For Introduction to Programming (CS1) and other more intermediate courses covering programming in C++. Also appropriate as a supplement for upper-level courses where the instructor uses a book as a reference for the C++ language. This best-selling comprehensive text is aimed at readers with little or no programming experience. It teaches programming by presenting the concepts in the context of full working programs and takes and early objects approach. The text ha...
75,Julius Caesar,William Shakespeare,Education,Biography,"Presents the original text of Shakespeare's play side by side with a modern version, discusses the author and the theater of his time, and provides quizzes and other study activities...."
76,Narrative of the life of Frederick Douglass,Frederick Douglass,"Classic, Education",Biography,This book is an autobiographical account by runaway slave Frederick Douglass that chronicles his experiences with his owners and overseers and discusses how slavery affected both slaves and slaveholders....
77,Twelve years a slave,Solomon Northup,"Classic, Education",Biography,"Twelve Years a Slave is a harrowing memoir about one of the darkest periods in American history. It recounts how Solomon Northup, born a free man in New York, was lured to Washington, D.C., in 1841 with the promise of fast money, then drugged and beaten and sold into slavery. He spent the next twelve years of his life in captivity on a Louisiana cotton plantation...."
78,My Ántonia,Willa Cather,"Classic, Romance",Biography,"My Antonia, first published 1918, is one of Willa Cather's greatest works. It is the last novel in the Prairie trilogy, preceded by O Pioneers! and The Song of the Lark.My Antonia tells the stories of several immigrant families who move out to rural Nebraska to start new lives in America, with a particular focus on a Bohemian family, the Shimerdas, whose eldest daughter is named Antonia. The book's narrator, Jim Burden, arrives in the fictional town of Black Hawk, Nebraska, on the same trai..."
79,The Canterbury Tales,Geoffrey Chaucer,"Classic, Adventure",Biography,"A collection of stories written in Middle English by Geoffrey Chaucer at the end of the 14th century. The tales (mostly in verse, although some are in prose) are told as part of a story-telling contest by a group of pilgrims as they travel together on a journey from Southwark to the shrine of Saint Thomas Becket at Canterbury Cathedral. In a long list of works, including Troilus and Criseyde, House of Fame, and Parliament of Fowls, The Canterbury Tales was Chaucer's magnum opus. He uses the..."
80,Sonnets,William Shakespeare,"Classic, Drama",Biography,"""I feel that I have spent half my career with one or another Pelican Shakespeare in my back pocket. Convenience, however, is the least important aspect of the new Pelican Shakespeare series. Here is an elegant and clear text for either the study or the rehearsal room, notes where you need them and the distinguished scholarship of the general editors, Stephen Orgel and A. R. Braunmuller who understand that these are plays for performance as well as great texts for contemplation."" (Patrick St..."
